time,high
2018-09-09 02:00:00,6216.96
2018-09-09 01:00:00,6400.01
2018-09-09 00:00:00,6434.9
2018-09-08 23:00:00,6431.85
2018-09-08 22:00:00,6413.82
2018-09-08 21:00:00,6420.62
2018-09-08 20:00:00,6433
2018-09-08 19:00:00,6462.55
2018-09-08 18:00:00,6470.14
2018-09-08 17:00:00,6480
2018-09-08 16:00:00,6474.65
2018-09-08 15:00:00,6452.86
2018-09-08 14:00:00,6465.83
2018-09-08 13:00:00,6448.58
2018-09-08 12:00:00,6439.58
2018-09-08 11:00:00,6459.23
2018-09-08 10:00:00,6470
2018-09-08 09:00:00,6442.34
2018-09-08 08:00:00,6449.53
2018-09-08 07:00:00,6421.38
2018-09-08 06:00:00,6428.31
2018-09-08 05:00:00,6456.34
2018-09-08 04:00:00,6457.49
2018-09-08 03:00:00,6436.63
2018-09-08 02:00:00,6437.9
2018-09-08 01:00:00,6450.98
2018-09-08 00:00:00,6480.06
2018-09-07 23:00:00,6444.11
2018-09-07 22:00:00,6479.76
2018-09-07 21:00:00,6450
2018-09-07 20:00:00,6446.47
2018-09-07 19:00:00,6388
2018-09-07 18:00:00,6455
2018-09-07 17:00:00,6463.41
2018-09-07 16:00:00,6485.33
2018-09-07 15:00:00,6490.12
2018-09-07 14:00:00,6534.15
2018-09-07 13:00:00,6513.09
2018-09-07 12:00:00,6497
2018-09-07 11:00:00,6511.87
2018-09-07 10:00:00,6539.46
2018-09-07 09:00:00,6527.5
2018-09-07 08:00:00,6515.64
2018-09-07 07:00:00,6538
2018-09-07 06:00:00,6473.06
2018-09-07 05:00:00,6469
2018-09-07 04:00:00,6471.63
2018-09-07 03:00:00,6480.86
2018-09-07 02:00:00,6454.13
2018-09-07 01:00:00,6445.11
2018-09-07 00:00:00,6458.34
2018-09-06 23:00:00,6476
2018-09-06 22:00:00,6529.8
2018-09-06 21:00:00,6512.14
2018-09-06 20:00:00,6415
2018-09-06 19:00:00,6425
2018-09-06 18:00:00,6415
2018-09-06 17:00:00,6435
2018-09-06 16:00:00,6454.58
2018-09-06 15:00:00,6440
2018-09-06 14:00:00,6447.84
2018-09-06 13:00:00,6449
2018-09-06 12:00:00,6466
2018-09-06 11:00:00,6472.32
2018-09-06 10:00:00,6506.76
2018-09-06 09:00:00,6480
2018-09-06 08:00:00,6727.7
2018-09-06 07:00:00,6927.97
2018-09-06 06:00:00,6940.11
2018-09-06 05:00:00,6986.72
2018-09-06 04:00:00,6962.82
2018-09-06 03:00:00,6935.99
2018-09-06 02:00:00,6944.89
2018-09-06 01:00:00,6936.05
2018-09-06 00:00:00,7000
2018-09-05 23:00:00,7018.1
2018-09-05 22:00:00,7044.16
2018-09-05 21:00:00,7045.1
2018-09-05 20:00:00,7029.41
2018-09-05 19:00:00,7035.54
2018-09-05 18:00:00,7180
2018-09-05 17:00:00,7400
2018-09-05 16:00:00,7394.77
2018-09-05 15:00:00,7380
2018-09-05 14:00:00,7391.15
2018-09-05 13:00:00,7389.15
2018-09-05 12:00:00,7384.42
2018-09-05 11:00:00,7384.4
2018-09-05 10:00:00,7392.77
2018-09-05 09:00:00,7400
2018-09-05 08:00:00,7381.42
2018-09-05 07:00:00,7364.85
2018-09-05 06:00:00,7366.42
2018-09-05 05:00:00,7381.4
2018-09-05 04:00:00,7373.15
2018-09-05 03:00:00,7378.98
2018-09-05 02:00:00,7418
2018-09-05 01:00:00,7393.06
2018-09-05 00:00:00,7383.98
2018-09-04 23:00:00,7385.85
2018-09-04 22:00:00,7400
2018-09-04 21:00:00,7390.37
2018-09-04 20:00:00,7402.83
2018-09-04 19:00:00,7356.07
2018-09-04 18:00:00,7328.01
2018-09-04 17:00:00,7306.4
2018-09-04 16:00:00,7330
2018-09-04 15:00:00,7325
2018-09-04 14:00:00,7308.89
2018-09-04 13:00:00,7275.22
2018-09-04 12:00:00,7276.97
2018-09-04 11:00:00,7284.25
2018-09-04 10:00:00,7296.41
2018-09-04 09:00:00,7300
2018-09-04 08:00:00,7275
2018-09-04 07:00:00,7276.06
2018-09-04 06:00:00,7336.2
2018-09-04 05:00:00,7320
2018-09-04 04:00:00,7321.06
2018-09-04 03:00:00,7334.02
2018-09-04 02:00:00,7286.36
2018-09-04 01:00:00,7298
2018-09-04 00:00:00,7290.5
2018-09-03 23:00:00,7296.91
2018-09-03 22:00:00,7294.44
2018-09-03 21:00:00,7300
2018-09-03 20:00:00,7262.54
2018-09-03 19:00:00,7237.29
2018-09-03 18:00:00,7242
2018-09-03 17:00:00,7249.53
2018-09-03 16:00:00,7270
2018-09-03 15:00:00,7256.5
2018-09-03 14:00:00,7258.11
2018-09-03 13:00:00,7228.61
2018-09-03 12:00:00,7266.55
2018-09-03 11:00:00,7290.27
2018-09-03 10:00:00,7282
2018-09-03 09:00:00,7283.3
2018-09-03 08:00:00,7326.64
2018-09-03 07:00:00,7314.39
2018-09-03 06:00:00,7300.32
2018-09-03 05:00:00,7306.93
2018-09-03 04:00:00,7313.77
2018-09-03 03:00:00,7331.43
2018-09-03 02:00:00,7319.77
2018-09-03 01:00:00,7315.36
2018-09-03 00:00:00,7284.46
2018-09-02 23:00:00,7245
2018-09-02 22:00:00,7233.65
2018-09-02 21:00:00,7259.61
2018-09-02 20:00:00,7269.67
2018-09-02 19:00:00,7289.95
2018-09-02 18:00:00,7331.98
2018-09-02 17:00:00,7341.82
2018-09-02 16:00:00,7302.99
2018-09-02 15:00:00,7253.07
2018-09-02 14:00:00,7243
2018-09-02 13:00:00,7244.01
2018-09-02 12:00:00,7230
2018-09-02 11:00:00,7200
2018-09-02 10:00:00,7174.89
2018-09-02 09:00:00,7168
2018-09-02 08:00:00,7206.85
2018-09-02 07:00:00,7211.65
2018-09-02 06:00:00,7215.86
2018-09-02 05:00:00,7215
2018-09-02 04:00:00,7260.96
2018-09-02 03:00:00,7274.76
2018-09-02 02:00:00,7206.86
2018-09-02 01:00:00,7209.52
2018-09-02 00:00:00,7214.81
2018-09-01 23:00:00,7211
2018-09-01 22:00:00,7131.88
2018-09-01 21:00:00,7059
2018-09-01 20:00:00,7068.12
2018-09-01 19:00:00,7112.82
2018-09-01 18:00:00,7098.9
2018-09-01 17:00:00,7084.13
2018-09-01 16:00:00,7065.14
2018-09-01 15:00:00,7066.21
2018-09-01 14:00:00,7055.35
2018-09-01 13:00:00,7061.91
2018-09-01 12:00:00,7073
2018-09-01 11:00:00,7074
